seed,method,terminal_wealth,max_drawdown,mean_turnover,mean_local_regret,post_shock_regret,mean_cash,final_reference
0,DRCPT-PG,0.8146644004177436,0.3473887111313286,0.1497123178208573,0.09384066989427478,0.10168453005546242,0.01859952830310653,0.8705061929462803
0,Equal Weight,0.5345784933235587,0.5477310870420399,0.00925925925925926,0.1377407874914955,0.18845769310257743,0.16666666666666666,1.0
0,Expected-Utility PG,0.7560683181694804,0.3940685689866498,0.18054407900526795,0.3107455724410623,0.42628689552575183,0.0024798671617765502,1.0
0,Exponential-Utility PG,0.7400009782709198,0.38825044690668425,0.20165697609736952,0.1324635212268187,0.19712284221154674,0.051437889657374516,0.7703698157151276
0,Static CPT-PG,0.7611813539440031,0.386998806734713,0.16659450364517936,0.2365444168130437,0.3149901235979523,0.00415426078538695,1.0
0,Symmetric CPT-PG,0.7716984145399257,0.3800159517326483,0.15172293363278555,0.15181399309066634,0.23715157718048407,0.004197982995950488,0.7935035530357034
1,DRCPT-PG,1.0885807121225484,0.2617225588390576,0.13484095630152382,0.09273260480216029,0.10460432256758934,0.018052656802266663,1.0843828662837052
1,Equal Weight,0.9263503423763657,0.3759960258544538,0.00925925925925926,0.1335523875824541,0.1862833070924252,0.16666666666666666,1.0
1,Expected-Utility PG,1.019677926850365,0.29730449396953706,0.16518635927308026,0.28695484667967647,0.42358767157363614,0.0023642531667919333,1.0
1,Exponential-Utility PG,1.0300720246136097,0.29062889818660936,0.19010717703910834,0.12701851716135282,0.19985856993302492,0.0533101898462485,1.0161132143383358
1,Static CPT-PG,1.0463062212642038,0.2886437824614077,0.1474297515623738,0.20713072103401206,0.3158938247842094,0.0041685818040615675,1.0
1,Symmetric CPT-PG,1.052941317331035,0.28533054750675096,0.13264417468290654,0.15126901536974557,0.23780064412827748,0.00424215099586348,1.0422480698919856
2,DRCPT-PG,0.8729060850510647,0.3512167519041665,0.19553257255570533,0.09405025232809289,0.09360620238655096,0.024196792754498153,0.8626991452611835
2,Equal Weight,0.6991377762276142,0.4372191100158749,0.00925925925925926,0.1381546089775786,0.18798942755089681,0.16666666666666666,1.0
2,Expected-Utility PG,0.8087023451190554,0.39169527663233267,0.20634278094958064,0.32239222162729547,0.4337661797552346,0.002477453746246668,1.0
2,Exponential-Utility PG,0.7972642683386283,0.3761832692808997,0.21969897306838462,0.13265217669201756,0.19940141131847233,0.054715807625918544,0.7788578601185352
2,Static CPT-PG,0.8120193508614234,0.3888655097942714,0.19534415800849766,0.24439579055148464,0.32129466433702286,0.004486022919320526,1.0
2,Symmetric CPT-PG,0.8231062871692462,0.38484122923529807,0.18489942888119965,0.15453516809697312,0.2387078590195361,0.004734715496918252,0.8075595578827817
3,DRCPT-PG,0.8148099317201816,0.322827190692768,0.15333530567207512,0.09900140342004712,0.10321484941634392,0.019293709660428243,0.831944388043271
3,Equal Weight,0.6760389043715931,0.4289117081533395,0.00925925925925926,0.1356554476843075,0.18804966650108082,0.16666666666666666,1.0
3,Expected-Utility PG,0.7848169314162894,0.3475812908073102,0.15064201032694297,0.313604817688802,0.44011041166288717,0.002508735411049026,1.0
