seed,episode,date,recorded_objective,objective_before,objective_after,update_gain
7,1,20250102,-0.0044595519820597,-0.00608059966250391,-0.006730863282189194,-0.0006502636196852839
7,2,20250109,-0.0232014112029583,-0.021894366372230613,-0.021902188861084422,-7.822488853809206e-06
7,3,20250116,-0.0145379693613069,-0.016345846474192512,-0.01680049455791989,-0.00045464808372737767
7,4,20250123,-0.0199535037028977,-0.01865092270366887,-0.018018964414117426,0.0006319582895514438
7,5,20250207,-0.005501710182871,-0.0018359806799355428,-0.0018839707007062938,-4.799002077075093e-05
7,6,20250214,-0.0037387004332753,-0.006142441041722024,-0.006508784038012413,-0.00036634299629038913
7,7,20250221,-0.0052376493255529,-0.00870513182569097,-0.009048665603768869,-0.000343533778077899
7,8,20250228,-0.0091252306233112,-0.008291958809914835,-0.0079462779408557,0.00034568086905913467
7,9,20250307,-0.009358553992659,-0.007853421559067047,-0.0083631202093576,-0.0005096986502905534
7,10,20250314,-0.0258148084005052,-0.02739420210200589,-0.02721853851526859,0.00017566358673730062
7,11,20250321,-0.0251874404646168,-0.024195728652684975,-0.023462599075288002,0.000733129577396973
7,12,20250328,-0.03745356620738,-0.03887760004044621,-0.039509963713237624,-0.0006323636727914167
7,13,20250407,-0.0630955175959833,-0.0599142522188961,-0.05935351980121006,0.0005607324176860398
7,14,20250414,-0.0956774960435029,-0.09766820268705298,-0.09763793858549309,3.026410155988757e-05
7,15,20250421,-0.0778504229429199,-0.07905091494064848,-0.07900321356407489,4.770137657358897e-05
7,16,20250428,-0.0562855588493707,-0.05170809446828718,-0.05172919086800504,-2.1096399717854264e-05
7,17,20250508,-0.0193146462003048,-0.020514197546279277,-0.021114223383980325,-0.000600025837701048
7,18,20250515,-0.0092000599596072,-0.00864213787329322,-0.008207192844696308,0.0004349450285969121
7,19,20250522,-0.015400019180457,-0.014708176787450455,-0.014521840937186021,0.00018633585026443453
7,20,20250529,-0.0376740157042575,-0.0396570680908001,-0.04057469409605646,-0.0009176260052563626
7,21,20250606,-0.0113863430482506,-0.01426087600279322,-0.013672006544536142,0.0005888694582570769
7,22,20250613,-0.0139603729549479,-0.014274476415126915,-0.014428127517067487,-0.00015365110194057174
7,23,20250620,-0.0313453524443757,-0.03175855724808576,-0.03209513698072704,-0.00033657973264127755
7,24,20250627,-0.0069911919433221,-0.010080239282045654,-0.0105487485435636,-0.0004685092615179468
7,25,20250704,-0.0036260646755022,-0.006647315046192467,-0.007387622021153931,-0.0007403069749614636
7,26,20250711,-0.0071799571322669,-0.004584025010673917,-0.00522835136134225,-0.0006443263506683335
7,27,20250718,-0.0126557204877538,-0.009985993409330027,-0.009710835390401273,0.0002751580189287537
7,28,20250725,4.685725274896496e-05,0.0030038510708863576,0.002735127885445823,-0.0002687231854405347
7,29,20250801,-0.0286166171244227,-0.028999324465671363,-0.02919273074681803,-0.00019340628114666858
7,30,20250808,-0.0126524212532318,-0.011328950829933042,-0.010646977504823945,0.0006819733251090965
7,31,20250815,-0.0165760533324732,-0.01727662252635583,-0.016651993727803748,0.0006246287985520807
7,32,20250822,-0.002076148758232,-0.004822568812485233,-0.004419152796509042,0.00040341601597619105
7,33,20250829,-0.0037841441376906,-0.0037432351999890784,-0.004176836064481687,-0.0004336008644926087
7,34,20250905,-0.0417867623128579,-0.04231716456178394,-0.04249000810757522,-0.00017284354579127914
7,35,20250912,0.0028640042329156,-0.0014661991776821412,-0.0021125416186128267,-0.0006463424409306855
7,36,20250919,-0.0119194500523802,-0.017214877146520965,-0.016212458780327725,0.0010024183661932404
7,37,20250926,-0.0002880316020953,-0.004764506524623558,-0.0055292011266619805,-0.0007646946020384224
7,38,20251013,-0.0145587030702406,-0.0138431551348155,-0.013336047650713988,0.000507107484101512
7,39,20251020,-0.0876199706124943,-0.08341568874785499,-0.08292942726042551,0.0004862614874294735
7,40,20251027,-0.0236224882034085,-0.027604243500329285,-0.02847859650235827,-0.0008743530020289859
7,41,20251103,-0.0235708512082945,-0.018447810648439224,-0.018061219794201992,0.0003865908542372322
7,42,20251110,-0.0170875924549874,-0.01959242184999602,-0.0195341839619508,5.823788804521987e-05
7,43,20251117,-0.0362803551813809,-0.038127260008105616,-0.03742322626694718,0.0007040337411584399
7,44,20251124,-0.1267363177335227,-0.1336410347287288,-0.13357434652983144,6.668819889735222e-05
7,45,20251201,-0.0686100723351266,-0.06575358303180905,-0.06622015625804946,-0.0004665732262404132
7,46,20251208,-0.0416461802661898,-0.04496797076470191,-0.045396401344389305,-0.0004284305796873958
7,47,20251215,-0.0420963759774413,-0.043850005583227714,-0.04377572362603562,7.428195719209191e-05
7,48,20251222,-0.0377944474644408,-0.03780572428192743,-0.0381568903350379,-0.0003511660531104674
7,49,20251229,-0.0051650218402005,-0.006976568995898987,-0.006467787555208281,0.000508781440690706
7,50,20260107,0.0024882463734073,0.003726861146337258,0.003657367616693231,-6.949352964402689e-05
7,51,20260114,-0.0041491524283774,-0.004511036565508782,-0.004352033045653051,0.00015900351985573095
7,52,20260121,-0.0150475169860001,-0.01222039050369687,-0.012363174312653198,-0.00014278380895632777
7,53,20260128,-0.0192388892425833,-0.020542578490246283,-0.019941056586330615,0.0006015219039156687
7,54,20260204,-0.0390282469774588,-0.0367219041246747,-0.037021112859174074,-0.00029920873449937324
7,55,20260211,-0.0170643101659355,-0.019579930581953453,-0.01955799250186776,2.1938080085694145e-05
7,56,20260226,-0.0156554964806275,-0.016250516560270326,-0.015623290667674757,0.000627225892595569
7,57,20260305,-0.0731830690918499,-0.08160419955673687,-0.0821233470900128,-0.0005191475332759349
7,58,20260312,-0.032340694803406,-0.03687292214724924,-0.03620059780996558,0.0006723243372836613
7,59,20260319,-0.0510928520371377,-0.050055166660240215,-0.05052497067336883,-0.00046980401312861353
7,60,20260326,-0.1062985829766405,-0.1097073042448668,-0.10933402495684175,0.0003732792880250524
7,61,20260402,-0.0798934565744666,-0.08261168041879294,-0.08216045356609973,0.0004512268526932067
7,62,20260410,-0.0516366875120463,-0.05298438903626356,-0.05272658630994015,0.00025780272632341256
7,63,20260417,-0.0137497563676488,-0.01516610492453183,-0.015486188754493563,-0.00032008382996173354
7,64,20260424,-0.0103897856665643,-0.015231361295655258,-0.015673987356872286,-0.00044262606121702776
7,65,20260506,-0.0108885014463723,-0.009705566254857316,-0.009315639540228425,0.0003899267146288913
7,66,20260513,-0.0073115963804121,-0.009133584231798846,-0.008846196275648862,0.0002873879561499839
7,67,20260520,-0.0308081409654163,-0.03579176745986834,-0.03541760871122708,0.00037415874864125953
29,1,20250102,-0.0065290400302389,-0.006050836837368253,-0.005596304656555019,0.00045453218081323386
29,2,20250109,-0.0213019185234328,-0.020064823285716266,-0.02005465039364025,1.0172892076016488e-05
29,3,20250116,-0.015542382226941,-0.01657386814330044,-0.016508935379618526,6.493276368191303e-05
29,4,20250123,-0.0170035970599686,-0.021462385229262724,-0.02136500154047048,9.738368879224496e-05
29,5,20250207,-0.0054132732884936,-0.004119954404478658,-0.00386610211989483,0.00025385228458382845
29,6,20250214,-0.0051903323948347,-0.003197531991228013,-0.002833374489862237,0.00036415750136577565
29,7,20250221,-0.0085733027216472,-0.008704131510487833,-0.008844549467803452,-0.00014041795731561946
29,8,20250228,-0.0061069352921457,-0.0058783017264743215,-0.006025190119992923,-0.00014688839351860179
29,9,20250307,-0.0040738077545832,-0.004979666820913806,-0.0056242988408084366,-0.0006446320198946302
29,10,20250314,-0.0171014393467409,-0.014773799639142124,-0.014210340105671616,0.0005634595334705079
29,11,20250321,-0.0140889710197809,-0.013529700235690365,-0.013606637507455544,-7.693727176517895e-05
29,12,20250328,-0.0167134589026622,-0.018818055045759126,-0.019347615323159206,-0.0005295602774000804
29,13,20250407,-0.0404076247382415,-0.0361429344507812,-0.03650097556488686,-0.00035804111410565886
29,14,20250414,-0.06881584066374,-0.0699806656635595,-0.0694246763238638,0.000555989339695695
