date,episode,asset,regime,ret,momentum,reversal,volatility,value
2023-01-02,0,Stock_1,Uptrend,-0.005054462686976197,-0.005091709170967844,-0.009155582439113708,0.013064066159257592,0.6662337153246989
2023-01-02,0,Stock_2,Uptrend,0.003250740019727684,0.004335617763282347,0.007152996624609951,0.008680061172416358,0.27333043157524944
2023-01-02,0,Stock_3,Uptrend,-0.005837304505334002,-0.002532763609326529,-0.004026538051044658,0.009376410287060166,-0.059855456538797744
2023-01-02,0,Stock_4,Uptrend,0.002178969369702338,-0.0025791129292716815,0.006001616517956762,0.010675538253117652,0.41038157154498006
2023-01-02,0,Stock_5,Uptrend,-0.002433281561002077,0.0007773385493636576,0.0008179267431187051,0.005585057803600392,-0.06167823144921792
2023-01-02,0,Cash,Uptrend,0.00035,0.0,0.0,0.0005,0.0
2023-01-03,1,Stock_1,Uptrend,0.02021451463223562,0.006524433596034678,0.015624430106047063,0.012859877053377414,0.5685772061944045
2023-01-03,1,Stock_2,Uptrend,0.021277008873879247,-0.01526337008065846,0.002709202635983182,0.00968704935034119,0.33319279578516625
2023-01-03,1,Stock_3,Uptrend,0.02359392309869451,-0.006755426695285624,0.00408817594874337,0.008652481700025885,-0.20745449183044767
2023-01-03,1,Stock_4,Uptrend,0.013149684260961556,0.002731370647703863,0.0021897959776325184,0.00872187979913559,0.3526086194525576
2023-01-03,1,Stock_5,Uptrend,0.013071317454028659,0.005297416462250544,-0.005136320340516101,0.009877277344759254,-0.04775600835314889
2023-01-03,1,Cash,Uptrend,0.00035,0.0,0.0,0.0005,0.0
2023-01-04,2,Stock_1,Uptrend,0.004817652961870773,0.01486988917582685,-0.02297835307966905,0.010594343523079704,0.7215619303393022
2023-01-04,2,Stock_2,Uptrend,0.0024316987105325776,0.02170506657358852,-0.029894627368028913,0.009123085454768537,0.2863127559159231
2023-01-04,2,Stock_3,Uptrend,0.0028445249039696866,0.010991376886050407,-0.015403274906472995,0.00957672513325064,-0.1699086965944754
2023-01-04,2,Stock_4,Uptrend,-0.0007587302201755766,0.0040783744572747355,-0.010515684935616757,0.010727927663158228,0.31002011270931923
2023-01-04,2,Stock_5,Uptrend,-0.003648869513258485,0.005964493710537448,-0.017341487617216853,0.01190592898394907,-0.04203219984623857
2023-01-04,2,Cash,Uptrend,0.00035,0.0,0.0,0.0005,0.0
2023-01-05,3,Stock_1,Uptrend,0.0003859601851266001,-0.002052247262746713,-0.005305710731406904,0.01263133141312071,0.668025783169842
2023-01-05,3,Stock_2,Uptrend,0.0025795143555013243,-0.0006863654911473433,0.004975766871837059,0.007555308795586857,0.10873859255893861
