panel,key1,key2,dlr_ratio_mean,dlr_ratio_ci_low,dlr_ratio_ci_high,online_dlr_mean,frozen_dlr_mean,seeds
horizon,1.0,,0.4292632714122879,0.367455393924581,0.4832946013847471,0.10670118010691061,0.24643168949015212,4
horizon,5.0,,0.45757884842412183,0.3322195917245602,0.6209098357002789,0.5501332149423369,1.2672704168724103,4
horizon,10.0,,0.35136619106872874,0.29749680775524423,0.42540683647611577,1.567871832016633,4.46744281999622,4
horizon,15.0,,0.440488481470481,0.36874768221092563,0.5317368568125908,2.3606370888873736,5.425860836066995,4
horizon,20.0,,0.3102635869404907,0.2563834481475155,0.3742493442556789,4.0156207992259025,13.028561111404414,4
horizon,25.0,,0.47998521248672044,0.4022722920805959,0.5591672143641186,2.8339030273332835,5.934387241190146,4
horizon,30.0,,0.6819463265921207,0.43559855090278143,0.8971884997218993,2.566132143061482,3.9728260032840597,4
horizon,35.0,,0.4933797749587323,0.23209000654409656,0.7463857214678231,1.7566368278797124,3.7688573172859616,4
horizon,40.0,,0.4642661580197085,0.34201014986018635,0.5846094747335997,1.2480981113141758,2.825648186087085,4
horizon,45.0,,0.6864694050936251,0.4194834631263695,0.9534553470608806,2.0798624748407692,3.2720482157198485,4
horizon,50.0,,0.8817196345014506,0.44420786361670656,1.5717775588143066,1.934407516173479,3.018178988941105,4
optimizer,0.01,0.005,0.7194216590527877,0.6059234632137229,0.8184459259643293,14.190930143942577,19.869254186408867,4
optimizer,0.01,0.01,0.778702530141535,0.628687512425923,0.928717547857147,13.300234874181106,17.756798039642284,4
optimizer,0.01,0.015,0.8168004092437504,0.6764902252164303,0.9664255290388168,16.41642028473256,20.468910274831856,4
optimizer,0.01,0.02,0.7368978107854496,0.6199711284527067,0.9519666335631842,14.30589933530761,19.99653987505838,4
optimizer,0.01,0.03,1.10915651391405,0.8758273946399483,1.3424856331881518,3.352449747826224,3.184620698484605,4
optimizer,0.01,0.04,0.6526857266809234,0.5582202027974943,0.792411254070289,4.976398034867562,7.646955592751066,4
optimizer,0.01,0.05,0.9511599773319516,0.769987314961475,1.0683636436435524,0.9344680339344225,1.0144446617813392,4
optimizer,0.01,0.06,0.7455277071100255,0.6610754244116342,0.8382395972795674,2.4767673369933405,3.343761343542535,4
optimizer,0.02,0.01,0.6629418849517215,0.5445168151658282,0.7752457145955858,11.681247272765193,17.804947220765797,4
optimizer,0.02,0.015,0.628034844563884,0.5496504621049777,0.7317884579120368,14.492294309835126,23.492118970723475,4
optimizer,0.02,0.02,0.6126641515840181,0.48364598135257636,0.7416823218154598,12.023794755977214,19.987652495095862,4
optimizer,0.02,0.03,0.6698345047033348,0.5937258425164823,0.7211661576081672,2.646824231556171,3.9538521065340237,4
optimizer,0.02,0.04,0.6766200031468326,0.5544420218643764,0.8674001705535951,4.593428924621356,6.963487311788503,4
optimizer,0.02,0.05,0.8978843045782046,0.643145553589672,1.2099863995886069,0.8740657228069192,1.0594947495441984,4
